codgr;libgr;sougr;libsougr;codal;libal
2;céréales pour petit déjeuner;2;céréales chocolatées;32009;pétales de blé chocolatés enrichis en vitamines et minéraux type chocos kellogg'
2;céréales pour petit déjeuner;2;céréales chocolatées;32016;céréales fourrées au chocolat ou chocolat-noisette enrichies en vitamines et min
2;céréales pour petit déjeuner;2;céréales chocolatées;32022;céréales chocolatées enrichies en vitamines et minéraux type spécial k au chocol
2;céréales pour petit déjeuner;2;céréales chocolatées;32112;muesli croustillant au chocolat enrichi en vitamines et minéraux
2;céréales pour petit déjeuner;2;céréales chocolatées;32115;grains de blé soufflés chocolatés enrichis en vitamines et minéraux
2;céréales pour petit déjeuner;2;céréales chocolatées;32131;riz soufflé chocolaté enrichi en vitamines et minéraux type choco pops kellogg's
2;céréales pour petit déjeuner;2;céréales chocolatées;32135;multi-céréales au chocolat soufflées ou extrudées enrichies en vitamines et miné
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32023;céréales aux fruits enrichies en vitamines et minéraux type fitness & fruits de
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32110;muesli floconneux aux fruits ou aux fruits secs enrichi en vitamines et minéraux
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32111;muesli croustillant aux fruits ou aux fruits secs enrichi en vitamines et minéra
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32113;muesli floconneux aux fruits ou aux fruits secs sans sucre ajouté type alpen
2;céréales pour petit déjeuner;3;céréales aux fruits frais ou secs;32123;pétales de blé avec noix, noisettes ou amandes enrichis en vitamines et minéraux
2;céréales pour petit déjeuner;4;autres céréales pour petit déjeuner;32004;muesli sans précision
2;céréales pour petit déjeuner;4;autres céréales pour petit déjeuner;32018;céréales fourrées fourrage autre que chocolat enrichies en vitamines b1 b2 b6 b9
2;céréales pour petit déjeuner;4;autres céréales pour petit déjeuner;90032;autres céréales sucrées pour petit déjeuner
3;pâtes;1;pâtes alimentaires;9811;pâtes alimentaires cuites
3;pâtes;1;pâtes alimentaires;9822;pâtes alimentaires aux oeufs cuites
3;pâtes;1;pâtes alimentaires;9871;pâtes alimentaires au blé complet cuites
3;pâtes;2;pâtes pour pâtisserie prêtes à l'emploi;23412;pâte brisée cuite
3;pâtes;2;pâtes pour pâtisserie prêtes à l'emploi;23422;pâte feuilletée cuite
4;riz et blé dur ou concassé;1;blé;9081;blé dur précuit nature type ebly
4;riz et blé dur ou concassé;1;blé;9683;couscous (graine seule) semoule cuite
4;riz et blé dur ou concassé;2;riz;9103;riz complet cuit
4;riz et blé dur ou concassé;2;riz;9104;riz blanc cuit
4;riz et blé dur ou concassé;2;riz;9105;riz blanc étuvé cuit
5;autres céréales;99;sans;9230;pop corn ou maïs éclaté à l'huile salé
5;autres céréales;99;sans;9313;flocons d'avoine cuits à l'eau
5;autres céréales;99;sans;9615;polenta ou semoule de maïs cuite
5;autres céréales;99;sans;9660;germes de blé
6;viennoiserie;99;sans;7601;croissant sans précision
6;viennoiserie;99;sans;7615;croissant ordinaire artisanal
6;viennoiserie;99;sans;7620;croissant au beurre artisanal
6;viennoiserie;99;sans;7650;croissant aux amandes artisanal
6;viennoiserie;99;sans;7710;pain au lait artisanal
6;viennoiserie;99;sans;7720;pain aux raisins
6;viennoiserie;99;sans;7730;pain au chocolat feuilleté artisanal
6;viennoiserie;99;sans;7740;brioche industrielle préemballée
6;viennoiserie;99;sans;7741;brioche sans précision
6;viennoiserie;99;sans;23480;chausson aux pommes
6;viennoiserie;99;sans;24660;palmier artisanal
6;viennoiserie;99;sans;92510;autre viennoiserie
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24000;biscuit sec sans précision
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24002;biscuit diététique à teneur garantie en vitamines
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24003;biscuit diététique à teneur garantie en vitamines et minéraux
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24015;biscuit sec petit beurre
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24016;biscuit sec petit beurre + tablette de chocolat type lu petit écolier
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24031;biscuit sec corquant genre tuile sans chocolat allégé en matière grasse
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24034;biscuit sec pour petit déjeuner type lu ou prince
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24036;biscuit sec au chocolat sans précision
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24037;biscuit sec fourré à la pâte de fruit type figolu à la figue
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24038;biscuit sec nappé de chocolat type pépito ou mikado lu
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24049;galette ou sablé ou palet type galette du mont saint michel
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24231;goûter sec fourré au chocolat type prince ou bn au chocolat
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24310;gaufrette fourrée fourrage autre qu'aux fruits (chocolat vanille noisette…)
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24320;gaufrette fourrée aux fruits type paille d'or aux framboises
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24430;biscuit sec aux œufs à la cuillère ou boudoir
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24441;langue de chat
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24615;tuile aux amandes
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24659;biscuit sec feuilleté type petits cœurs nature ou palmito
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24678;barquette à la pulpe de fruit fabrication industrielle
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;24684;cookie
7;biscuits sucrés ou salés et barres;1;biscuits sucrés;92033;autre biscuit sucré
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;4004;chips de pomme de terre salées
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38105;chips de maïs ou tortilla chips type nacho cheese ou dippas nature doritos
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38106;biscuit apéritif soufflé à base de pomme de terre type chipster lu
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38400;biscuit apéritif soufflé à base de maïs sans cacahuète
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38401;biscuit apéritif type cracker garni ou fourré au fromage type monaco lu
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38402;biscuit apéritif type cracker nature type tuc ou triangolini
7;biscuits sucrés ou salés et barres;2;biscuits salés pour apéritif;38403;biscuit apéritif type cracker allégé en matière grasse
7;biscuits sucrés ou salés et barres;3;barres céréalières;31100;barre céréalière à base de céréales et de lait pour petit déjeuner avec ou sans
7;biscuits sucrés ou salés et barres;3;barres céréalières;31101;barre céréalière aux fruits enrichie en vitamines et minéraux
7;biscuits sucrés ou salés et barres;3;barres céréalières;31102;barre céréalière chocolatée enrichie en vitamines et minéraux
7;biscuits sucrés ou salés et barres;3;barres céréalières;31106;barre chocolatée céréalière type grany céréales chocolat
7;biscuits sucrés ou salés et barres;3;barres céréalières;31113;barre céréalière aux fruits
7;biscuits sucrés ou salés et barres;3;barres céréalières;31114;barre céréalière aux amandes ou noisettes
8;pâtisseries et gâteaux;1;gâteaux;23000;gâteau sans précision
8;pâtisseries et gâteaux;1;gâteaux;23007;gâteau mousse aux fruits sur génoise type miroir aux fruits rouges de picard
8;pâtisseries et gâteaux;1;gâteaux;23021;baba au rhum
8;pâtisseries et gâteaux;1;gâteaux;23032;brownie au chocolat
8;pâtisseries et gâteaux;1;gâteaux;23050;gâteau de savoie
8;pâtisseries et gâteaux;1;gâteaux;23081;quatre-quarts fabrication industrielle
8;pâtisseries et gâteaux;1;gâteaux;23121;gâteau breton ou far aux pruneau
8;pâtisseries et gâteaux;1;gâteaux;23200;pain d'épices
8;pâtisseries et gâteaux;1;gâteaux;23531;charlotte aux fruits artisanale
8;pâtisseries et gâteaux;1;gâteaux;23585;gâteau au chocolat
8;pâtisseries et gâteaux;1;gâteaux;23589;gâteau au fromage blanc
8;pâtisseries et gâteaux;1;gâteaux;23684;galette des rois feuilletée fourrée à la frangipane
8;pâtisseries et gâteaux;1;gâteaux;23909;cake aux fruits
8;pâtisseries et gâteaux;1;gâteaux;23939;gâteau moelleux fourré au chocolat ou aux pépites de chocolat noir ou au lait
8;pâtisseries et gâteaux;1;gâteaux;23940;gâteau moelleux fourré au chocolat multicouches type napolitain lu ou kinder dél
8;pâtisseries et gâteaux;1;gâteaux;23941;gâteau moelleux fourré aux fruits type mini roulé fraise captain choc
8;pâtisseries et gâteaux;1;gâteaux;23950;muffin
8;pâtisseries et gâteaux;1;gâteaux;24630;madeleine
8;pâtisseries et gâteaux;1;gâteaux;24680;gâteau moelleux génoise fourrée à l'orange type chamonix
8;pâtisseries et gâteaux;1;gâteaux;24686;gâteau moelleux génoise fourrée à l'orange enrobée de chocolat type pim's
8;pâtisseries et gâteaux;1;gâteaux;90024;madeleine fourrée aux fruits type coqueline à la fraise
8;pâtisseries et gâteaux;1;gâteaux;90031;gâteau à la crème
8;pâtisseries et gâteaux;1;gâteaux;92034;autre gâteau
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23024;macaron moelleux fourré à la confiture ou à la crème artisanal
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23300;pâtisserie orientale aux amandes et au sirop
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23455;chou à la crème chantilly ou pâtissière
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23467;chouquette artisanale
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23477;éclair
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23490;tarte ou tartelette aux pommes
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23493;crumble aux pommes
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23499;tarte ou tartelette aux fruits
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23501;tarte à la crème
8;pâtisseries et gâteaux;2;pâtisseries et tartes;23900;pâtisserie sans précision
8;pâtisseries et gâteaux;2;pâtisseries et tartes;24666;millefeuille
8;pâtisseries et gâteaux;2;pâtisseries et tartes;92035;autre pâtisserie
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23800;crêpe au froment nature
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23801;crêpe ou galette bretonne au blé noir ou sarrasin
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23805;blinis
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23815;crêpe au froment sucrée non fourrée
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23820;crêpe au froment fourrée à la confiture
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23821;crêpe au froment fourrée au chocolat ou ou à la pâte à tartiner chocolat et nois
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23855;gaufre bruxelloise ou liégeoise avec ou sans chocolat préemballée
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23880;beignet sucré nature
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23881;beignet fourré à la confiture
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;23883;beignet fourré aux fruits
8;pâtisseries et gâteaux;3;beignets, crêpes et gaufres;39236;pain perdu
9;lait;1;lait en bouteille ou en brique;19011;lait de croissance infantile
9;lait;1;lait en bouteille ou en brique;19023;lait entier uht
9;lait;1;lait en bouteille ou en brique;19024;lait entier pasteurisé
9;lait;1;lait en bouteille ou en brique;19041;lait demi-écrémé uht
9;lait;1;lait en bouteille ou en brique;19042;lait demi-écrémé pasteurisé
9;lait;1;lait en bouteille ou en brique;19044;lait demi-écrémé en poudre
9;lait;1;lait en bouteille ou en brique;19045;lait demi-écrémé uht à teneur garantie en vitamines
9;lait;1;lait en bouteille ou en brique;19046;lait demi-écrémé uht à teneur garantie en protéines et vitamines enrichi en miné
9;lait;1;lait en bouteille ou en brique;19050;lait écrémé uht
9;lait;1;lait en bouteille ou en brique;19055;lait écrémé uht à teneur garantie en vitamines
9;lait;2;lait aromatisé;19110;lait demi-écrémé aromatisé
9;lait;2;lait aromatisé;19122;lait demi-écrémé aromatisé au chocolat
9;lait;2;lait aromatisé;19127;lait demi-écrémé aromatisé à la fraise
9;lait;2;lait aromatisé;39000;milk-shake sans précision
9;lait;3;lait concentré ou en poudre;19021;lait entier en poudre
9;lait;3;lait concentré ou en poudre;19026;lait entier concentré non sucré
9;lait;3;lait concentré ou en poudre;19027;lait entier concentré sucré
9;lait;3;lait concentré ou en poudre;19054;lait écrémé en poudre
9;lait;4;autre lait;19200;lait de chèvre entier uht
9;lait;4;autre lait;39400;lait de poule sans alcool
9;lait;4;autre lait;92511;autre lait
10;ultra-frais laitier;1;crème fraîche;19401;crème fraîche ou crème de lait fluide au moins 30% m.g. rayon frais
10;ultra-frais laitier;1;crème fraîche;19402;crème fraîche ou crème de lait sans précision
10;ultra-frais laitier;1;crème fraîche;19410;crème fraîche ou crème de lait épaisse au moins 30% m.g. rayon frais
10;ultra-frais laitier;1;crème fraîche;19415;crème fraîche ou crème de lait fluide au moins 30% m.g. uht
10;ultra-frais laitier;1;crème fraîche;19420;crème chantilly sucrée sous pression uht
10;ultra-frais laitier;1;crème fraîche;19430;crème fraîche ou crème de lait fluide allégée 15 à 20% m.g. uht
10;ultra-frais laitier;1;crème fraîche;19431;crème fraîche ou crème de lait épaisse allégée 15 à 20% m.g. rayon frais
10;ultra-frais laitier;1;crème fraîche;19433;spécialité à base de crème légère 8% m.g. type crème fluide ou épaisse
10;ultra-frais laitier;1;crème fraîche;81000;crème fraîche allégée ajoutée au service
10;ultra-frais laitier;1;crème fraîche;81001;crème fraîche allégée ajoutée à la cuisson
10;ultra-frais laitier;1;crème fraîche;81002;crème fraîche non allégée ajoutée au service
10;ultra-frais laitier;1;crème fraîche;81003;crème fraîche non allégée ajoutée à la cuisson
10;ultra-frais laitier;2;yaourts et assimilés;19600;yaourt ou spécialité laitière nature
10;ultra-frais laitier;2;yaourts et assimilés;19601;yaourt nature au lait entier
10;ultra-frais laitier;2;yaourts et assimilés;19602;yaourt brassé nature au lait entier type danone velouté nature
10;ultra-frais laitier;2;yaourts et assimilés;19605;yaourt nature au lait demi-écrémé
10;ultra-frais laitier;2;yaourts et assimilés;19606;yaourt nature 0% m.g. type taillefine nature 0% danone yoplait silhouette
10;ultra-frais laitier;2;yaourts et assimilés;19609;yaourt nature au lait demi-écrémé sucré
10;ultra-frais laitier;2;yaourts et assimilés;19611;yaourt aromatisé au lait entier sucré
10;ultra-frais laitier;2;yaourts et assimilés;19615;spécialité laitière type yaourt au bifidus aromatisé au lait entier sucrée type
10;ultra-frais laitier;2;yaourts et assimilés;19617;yaourt nature au lait entier sucré
10;ultra-frais laitier;2;yaourts et assimilés;19619;lait fermenté à boire au lait demi-écrémé nature type actimel
10;ultra-frais laitier;2;yaourts et assimilés;19621;yaourt aux céréales ou au muesli au lait entier
10;ultra-frais laitier;2;yaourts et assimilés;19624;yaourt ou spécialité laitière sans précision
10;ultra-frais laitier;2;yaourts et assimilés;19628;yaourt ou spécialité laitière aux fruits sans précision
10;ultra-frais laitier;2;yaourts et assimilés;19630;spécialité laitière au lait entier enrichie en crème au chocolat type stracciate
10;ultra-frais laitier;2;yaourts et assimilés;19640;yaourt aromatisé au lait demi-écrémé sucré
10;ultra-frais laitier;2;yaourts et assimilés;19670;spécialité laitière type yaourt 0% aromatisée sucrée type weight watcher
10;ultra-frais laitier;2;yaourts et assimilés;19700;yaourt aux fruits au lait entier sucré type danone recette crémeuse aux fruits o
10;ultra-frais laitier;2;yaourts et assimilés;19730;yaourt aux fruits au lait demi-écrémé sucré type panier de yoplait
10;ultra-frais laitier;2;yaourts et assimilés;19740;spécialité laitière type yaourt au lait entier au bifidus et aux fruits sucrée
10;ultra-frais laitier;2;yaourts et assimilés;19760;spécialité laitière type yaourt 0% aux fruits sucrée type sveltesse aux fruits p
10;ultra-frais laitier;2;yaourts et assimilés;19765;spécialité laitière type yaourt 0% aux fruits aux édulcorants type panier de yop
10;ultra-frais laitier;2;yaourts et assimilés;19771;yaourt à boire aromatisé au lait demi-écrémé sucré type yopi
10;ultra-frais laitier;2;yaourts et assimilés;19772;yaourt à boire au lait demi-écrémé aux édulcorants
10;ultra-frais laitier;2;yaourts et assimilés;19773;yaourt à boire aux fruits au lait demi-écrémé sucré type danone velouté ou fruix
10;ultra-frais laitier;2;yaourts et assimilés;19780;lait fermenté à boire au bifidus et aux fruits genre yaourt à boire
10;ultra-frais laitier;2;yaourts et assimilés;19800;lait fermenté au bifidus nature au lait entier type danone activa
10;ultra-frais laitier;2;yaourts et assimilés;19801;lait fermenté à boire maigre nature type lait ribot ou lactéor l'ben
10;ultra-frais laitier;2;yaourts et assimilés;19850;spécialité laitière nature à base de fromage blanc enrichie en crème type fjord
10;ultra-frais laitier;2;yaourts et assimilés;19851;spécialité laitière aux fruits à base de fromage blanc enrichie en crème type ge
10;ultra-frais laitier;2;yaourts et assimilés;19855;spécialité laitière type yaourt 0% aux céréales aux édulcorants type panier mues
10;ultra-frais laitier;2;yaourts et assimilés;19880;yaourt nature au lait de chèvre demi-écrémé
10;ultra-frais laitier;2;yaourts et assimilés;81071;yaourt ajouté au service
10;ultra-frais laitier;2;yaourts et assimilés;90057;yaourt bulgare ou velouté à la pulpe de fruits au lait entier
10;ultra-frais laitier;2;yaourts et assimilés;92036;autre yaourt ou spécialité laitière nature ou aux fruit
10;ultra-frais laitier;3;fromage blanc et petits suisses;19501;fromage blanc sans précision
10;ultra-frais laitier;3;fromage blanc et petits suisses;19502;fromage blanc sucré aromatisé ou aux fruits sans précision
10;ultra-frais laitier;3;fromage blanc et petits suisses;19505;fromage blanc battu nature 0% m.g.
10;ultra-frais laitier;3;fromage blanc et petits suisses;19506;fromage blanc de campagne nature 0% m.g.
10;ultra-frais laitier;3;fromage blanc et petits suisses;19510;fromage blanc battu 20% m.g. nature
10;ultra-frais laitier;3;fromage blanc et petits suisses;19515;fromage blanc battu nature 30% m.g.
10;ultra-frais laitier;3;fromage blanc et petits suisses;19518;fromage blanc battu aux fruits 0% m.g. aux édulcorants type yoplait câlin 0% sur
10;ultra-frais laitier;3;fromage blanc et petits suisses;19521;fromage blanc de campagne nature 40% m.g. type senoble fromage frais 43% campagn
10;ultra-frais laitier;3;fromage blanc et petits suisses;19522;fromage blanc battu nature 40% m.g. type danone jockey 40% ou yoplait calin 40%
10;ultra-frais laitier;3;fromage blanc et petits suisses;19562;petit-suisse nature 20% m.g. type gervais petit vitalité
10;ultra-frais laitier;3;fromage blanc et petits suisses;19565;petit-suisse nature 40% m.g.
10;ultra-frais laitier;3;fromage blanc et petits suisses;19566;fromage blanc aux fruits sucré 30-40% m.g.
10;ultra-frais laitier;3;fromage blanc et petits suisses;19569;petit suisse aux fruits au lait demi-écrémé type petits filous
10;ultra-frais laitier;3;fromage blanc et petits suisses;19572;fromage blanc type petit suisse 20% mg/ms, aromatisé vanille ou chocolat
10;ultra-frais laitier;3;fromage blanc et petits suisses;92039;autre fromage blanc
11;fromages;1;fromages affinés;12001;camembert fromage à pâte molle à croûte fleurie 45% m.g.
11;fromages;1;fromages affinés;12002;camembert et apparentés 50% m.g.
11;fromages;1;fromages affinés;12009;fromage à pâte molle à croûte fleurie genre camembert allégé 20-30% m.g.
11;fromages;1;fromages affinés;12010;coulommiers fromage à pâte molle à croûte fleurie 40-45% m.g.
11;fromages;1;fromages affinés;12020;brie fromage à pâte molle à croûte fleurie 45% m.g.
11;fromages;1;fromages affinés;12025;carré de l'est fromage à pâte molle à croûte fleurie 45-50% m.g.
11;fromages;1;fromages affinés;12028;chaource fromage à pâte molle à croûte fleurie 50% m.g.
11;fromages;1;fromages affinés;12031;neufchâtel fromage à pâte molle à croûte fleurie 45% m.g.
11;fromages;1;fromages affinés;12033;fromage triple crème plus de 75% m.g. type brillat savarin
11;fromages;1;fromages affinés;12034;autre fromage à pâte molle à croûte lavée
11;fromages;1;fromages affinés;12036;maroilles fromage à pâte molle à croûte lavée 45% m.g.
11;fromages;1;fromages affinés;12037;livarot fromage à pâte molle à croûte lavée 40% m.g.
11;fromages;1;fromages affinés;12039;munster fromage à pâte molle à croûte lavée 45-50% m.g.
11;fromages;1;fromages affinés;12040;langres fromage à pâte molle à croûte lavée 50% m.g.
11;fromages;1;fromages affinés;12042;pont l'évêque fromage à pâte molle à croûte lavée 45% m.g.
11;fromages;1;fromages affinés;12045;reblochon fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12048;rouy fromage à pâte molle à croûte lavée 40% m.g.
11;fromages;1;fromages affinés;12049;saint-marcellin fromage à pâte molle à croûte naturelle 40-50% m.g.
11;fromages;1;fromages affinés;12051;vacherin mont d'or fromage à pâte molle à croûte lavée au moins 45% m.g
11;fromages;1;fromages affinés;12100;autre fromage à pâte pressée cuite
11;fromages;1;fromages affinés;12105;beaufort fromage à pâte pressée cuite 45% m.g.
11;fromages;1;fromages affinés;12110;comté fromage à pâte pressée cuite 45% m.g.
11;fromages;1;fromages affinés;12114;gruyère fromage à pâte pressée cuite 45% m.g.
11;fromages;1;fromages affinés;12115;emmental fromage à pâte pressée cuite 45% m.g.
11;fromages;1;fromages affinés;12116;emmental allégé
11;fromages;1;fromages affinés;12120;parmesan fromage à pâte pressée cuite 45% m.g.
11;fromages;1;fromages affinés;12500;roquefort fromage de brebis à pâte persillée 52% m.g.
11;fromages;1;fromages affinés;12520;bleu au lait de vache fromage à pâte persillée sans précision
11;fromages;1;fromages affinés;12521;bleu d'auvergne fromage à pâte persillée 50% m.g.
11;fromages;1;fromages affinés;12522;fourme d'ambert fromage à pâte persillée 50% m.g.
11;fromages;1;fromages affinés;12523;bleu des causses fromage à pâte persillée 45% m.g.
11;fromages;1;fromages affinés;12524;gorgonzola fromage à pâte molle persillée 45% m.g.
11;fromages;1;fromages affinés;12527;bleu et mini bleu de bresse fromage à pâte persillée 45% m.g.
11;fromages;1;fromages affinés;12705;fromage à pâte pressée non cuite allégé 20-30% m.g.
11;fromages;1;fromages affinés;12708;fromage à pâte pressée non cuite 40-50% m.g.
11;fromages;1;fromages affinés;12720;fromage et mini fromage type bonbel-babybel
11;fromages;1;fromages affinés;12723;cantal salers ou laguiole fromages à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12726;cheddar fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12729;édam fromage à pâte pressée non cuite 40-45% m.g.
11;fromages;1;fromages affinés;12736;gouda fromage à pâte pressée non cuite 30-40% m.g.
11;fromages;1;fromages affinés;12740;mimolette fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12743;morbier fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12746;fromage des pyrénées au lait de vache
11;fromages;1;fromages affinés;12747;fromage des pyrénées au lait de brebis
11;fromages;1;fromages affinés;12749;raclette fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12752;saint-nectaire fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12754;port salut fromage à pâte pressée non cuite à croûte lavée 50% m.g.
11;fromages;1;fromages affinés;12755;saint-paulin fromage à pâte pressée non cuite 45-50% m.g.
11;fromages;1;fromages affinés;12758;tome ou tomme fromage à pâte pressée non cuite 45% m.g.
11;fromages;1;fromages affinés;12759;tomme de montagne ou tomme de savoie
11;fromages;1;fromages affinés;12801;fromage de chèvre affiné au lait cru
11;fromages;1;fromages affinés;12803;fromage de chèvre affiné au lait pasteurisé ou cru
11;fromages;1;fromages affinés;12820;fromage de chèvre pâte molle
11;fromages;1;fromages affinés;12999;fromage sans précision
11;fromages;1;fromages affinés;25545;fromage à cuire pané nature type crousti'cho de président
11;fromages;1;fromages affinés;25546;fromage à cuire pané au jambon type menu fromage
11;fromages;1;fromages affinés;81005;gruyère râpé ajouté au service
11;fromages;1;fromages affinés;90068;camembert sans précision
11;fromages;1;fromages affinés;90069;caprice des dieux fromage à pâte molle 60% m.g.
11;fromages;1;fromages affinés;90071;chamois d'or fromage à pâte molle 60% m.g.
11;fromages;1;fromages affinés;90072;chaumes fromage à pâte molle à croûte lavée 50% m.g.
11;fromages;1;fromages affinés;90075;époisses fromage à pâte molle à croûte lavée 45% m.g.
11;fromages;1;fromages affinés;90076;fol épi fromage à pâte pressée cuite à trous 50% m.g.
11;fromages;1;fromages affinés;90083;hollande fromage à pâte pressée non cuite 30-40% m.g.
11;fromages;1;fromages affinés;90086;leerdammer fromage à pâte pressée demi-cuite à trous 45% m.g.
11;fromages;1;fromages affinés;90095;pavé d'affinois fromage à pâte molle 45% m.g.
